Number,Title
020114,Übungen zu Computational Physics
020305,Medizinphysik I
020306,Übungen zur Medizinphysik I
020125,Physik und Technologie von Halbleiter-Nanostrukturen
020120,Atomar aufgelöste Methoden der Oberflächen- und Grenzflächenanalyse (Raum CP-03-190)
020115,Quanteninformationsverarbeitung II (Raum CP-O3-176)
020116,Teilchenphysik II (Montag: Terminkonflikt mit anderen LV - Terminfindung am Donnerstag 12.4.!)
020118,Physik und Technik der Verifikation von Rüstungsbegrenzungsabkommen
020119,"Grundbegriffe der Physik: (""Von der antiken Astronomie über die klassichen Physik und die probabilistische Revolution zur Quantentheorie"")"
020122,Angewandte Laserspektroskopie
020123,Magnetismus
020131,Experimentelle Übungen II für Studierende des Physik Studienganges B.Sc. (Modul PHY 341)
020131b,Experimentelle Übungen I für Physiker und Medizinphysiker
020132,"Fortgeschrittenenpraktikum für Physik Studierende mit dem Abschluss BSc, Modul PHY641"
020140,Die Physik und Technik von STAR TREK
020141,Aktuelle Themen und Techniken aus der Oberflächenphysik (Raum CP-O3-190)
020142,Laser: Grundlagen und Anwendungen
020164,Moderne Optik
020143,Festkörperspektroskopie (Raum CP-O3-176)
020149,Gruppenseminar Experimentelle Physik IV
020239,Studierendenseminar: Lesekurs zur Topquark-Physik
020151,Detektorsysteme in der Teilchen- und Medizinphysik
020153,Gruppenseminar Beschleunigerentwicklung AG Weis
020144,Gruppenseminar - AG Spaan
020145,Gruppenseminar Prof. Rhode (CP-03-150)
020147,Neutrino- und Gammaastronomie (CP-03-150)
020150,Gruppenseminar Prof. Kierfeld (Weiche Materie und Biologische Physik)
020154,Theorie stark korrelierter Vielteilchensysteme und Quanteninformation
020155,Gruppenseminar Prof. Stolze
020156,Aktuelle Probleme der Elementarteilchentheorie
020157,Bachelorseminar Prof. Päs
020161,Gruppenseminar Teilchentheorie (Prof. Brod)
020158,Gruppenseminar Teilchentheorie
020160,Gruppenseminar Exp. Phys. 1
020165,Gruppenseminar Halbleiterquantenoptik
020148,Gruppenseminar Prof. Böhmer
020171,Berufsfelder der Physik: Physikerinnen und Physiker berichten aus der Praxis
020199,Physikalisches Kolloquium
020100,Special zur WM 2018: Die Physik des Fußballspiels
020201,Theorie der weichen und biologischen Materie
020249,Maschinelles Lernen für Physiker*innen
,"Prüfungsanmeldung zur Klausur ""Elektronik"" - 07.08.2018"
020203a,Beschleunigerphysik II
020203b,Übung zur Beschleunigerphysik II
020203c,Seminar zur Beschleunigerphysik II
020205,Flavorphysik in Experiment und Theorie - Teilchenphysik II
020209,Übungen zur Gruppentheorie in der Festkörperphysik
020210,Gruppentheorie in der Festkörperphysik
020220,Introduction to the Renormalization of Quantum Field Theories. (May/June)
020120,Strukturanalyse mit Röntgenstrahlung (Raum CP-03-190)
020221,Fortgeschrittenenpraktikum für Studierende mit dem Abschluss MSc. Modul PHY 841
020146,"Spinelektronik, spin-orbitronics und Magnetismus"
020236,Kohärente Manipulation wechselwirkender Spinanregungen in maßgeschneiderten Halbleitern
020231,Gruppenseminar - AG Westphal (Raum CP-O3-190)
020232,"Beschleunigerphysik und Synchrotronstrahlung, Anwendungen in der Festkörperphysik"
020235,Gruppenseminar E2A:Optische Spektroskopie an kondensierter Materie
020234,Gruppenseminar E2B: Laserspektroskopie an Halbleitern
020237,Aktuelle Probleme der Neutrinophysik (Grupppenseminar)
020238,Aktuelle Probleme der Teilchen- und Astroteilchenphysik
020246,Falsche Entdeckungen in der Teilchenphysik
020240,Aktuelle Probleme der Beschleunigerphysik (Gruppenseminar)
020241,Erzeugung ultrakurzer Strahlungspulse (Gruppenseminar)
020239,E6 group seminar - coherent spin phenomena in solids (Mi 10-12 in P1-O2-111)
020244,Aktuelle Probleme der Vielteilchentheorie (Gruppenseminar)
020245,Theoretische Probleme der kondensierten Materie
020260,Ringvorlesung SFB Transregio 160
020301,Experimentalphysik II für den Studiengang Medizinphysik und Lehramt GHR/Sonderpädagogik
020302,Übungen zur Experimentalphysik II
020301b,Mathematische Ergänzungen zur Experimentalphysik II
020301c,Beratungsstunde zur Experimentalphysik II in Raum P1-O4-315
020303,Theoretische Physik II für Studierende der Medizinphysik und für Studierende mit Nebenfach Physik
020304,Übungen zur Theoretischen Physik II
020306b,Ergänzungen zur Medizinphysik I
020309,Methoden der klinischen Forschung
020402,Medizinische Physik und Technik der Partikeltherapie
020310,Grundpraktikum für Medizinphysik Studierende im BSc
020130,Experimentelle Übungen für Fortgeschrittene für Medizinphysik Studierende mit Abschluss B.Sc.
02,Klinikpraktikum
020340,Angewandte Physik in der klinischen Medizin
02,Aufarbeitungskurs zur Experimentalphysik I
020401,Fortgeschrittene klinische Medizinphysik
020403,TPS Praktikum (Raum P2-03-513)
036405,Basiskonzepte der Chemie
020601,Physik A/B 1 für B.Sc. Elektrotechnik und Informationstechnik (sowie Studierende anderer Fakultäten mit Nebenfach Physik)
020602,Übungen zur Physik A/B 1
020603,"Physik B2 für Studierende mit Nebenfach Physik der Bachelor-Studiengänge Chemie, Chemische Biologie,  Chemietechnik, Biotechnik, Informatik, Mathematik, Statistik, Wissenschaftsjournalismus und für Studierende des Studiengangs Bachelor Lehramt Physik"
020604,Ergänzung zu Physik B 2 für Studierende mit Nebenfach Physik
020605,"Übungen zu Physik B2 für Studierende mit Nebenfach Physik der Studiengänge Bachelor Informatik, Mathematik, Statistik und Wissenschaftsjournalismus"
020606,Übungen zu Physik B 2 für Studierende mit Nebenfach Physik der Studiengänge Chemie und Chemische Biologie
020607,Übungen zu Physik B 2 für Studierende mit Nebenfach Physik der Studiengänge Chemietechnik und Biotechnik
020609,Physik A/B 3 für Studierende mit Nebenfach Physik der Studiengänge Maschinenbau
020525,Projektseminar Biologie und Physik I (Lehramt Sachunterricht)
020624,Experimentelle Übungen für Studierende der Studiengänge Bio- und Chemieingenieurwesen
020627,"Experimentelle Übungen für Studierende der Informatik, Mathematik, Statistik und des Wissenschaftsjournalismus"
020628,Experimentelle Übungen in Physik für Chemie-Studierende
037785,Sachunterricht vor Ort (nur für Vertiefer)
036390,"Basiskonzepte N2 – Biologie (zu Modul B-N2, Beginn am ersten Donnerstag der Vorlesungszeit)"
036395,"Regionale Erkundungen – Biologie (zu Modul E, ganztägiges Wahlpflichtseminar an außerschulischen Lernorten, verbindliche Anmeldung nur für Studierende des Sachunterrichts und nur über die LSF-Veranstaltungsnummer 123912)"
037820,"Projektseminar Naturwissenschaften Biologie und Geographie (zu Modul N/Nv, Anmeldung nur im LSF unter Nr. 078585, Beginn am ersten Mittwoch der Vorlesungszeit in C2-06-304)"
030136,Spezielle Anorganische Chemie: Bioanorganische Chemie
030171,Anorganisch-chemisches Praktikum für Nebenfach-Studierende
030303,Einführung in die Organische Chemie
030363,Tutorium zur Vorlesung „Einführung in die Organische Chemie“
030385,Kleingruppenübung Einführung in die Organische Chemie
030460,Physikalische Chemie 1
030461,Übungen zu Physikalische Chemie 1
030513,Biochemie-Praktikum für Wissenschaftsjournalisten
03001,Chemikalienrecht und Arbeitsschutz
030081,"Praktikum Synthesen und Methoden (täglich, halbsemestrig)"
030082,Seminar und Übung zum Praktikum Synthesen und Methoden (halbsemestrig)
030084,Übungen zu Methoden der Strukturaufklärung
030085,Vertiefungspraktikum im Fach der Bachelorarbeit
030086,Seminar zum Vertiefungspraktikum im Fach der Bachelorarbeit
030110,Anorganische Chemie 2 (auch für Studierende des Wissenschaftsjournalismus)
030112,Analytische Chemie 2 (auch für Studierende des Wissenschaftsjournalismus)
030113,Übungen zu Analytische Chemie 2 (auch für Studierende des Wissenschaftsjournalismus)
030115,Übungen zu Anorganische Chemie  2 (auch für Studierende des Wissenschaftsjournalismus)
030116,Allgemeine und Anorganische Chemie Praktikum 2
030119,Seminar zum Praktikum in Anorganischer Chemie 2
030138,Spezielle Anorganische Chemie: Siliciumchemie (Vorlesung und Übung)
030301,"Organische Chemie, Teil 1 (MOC1)"
030338,Vertiefungspraktikum in Organischer Chemie
030339,Seminar zum Vertiefungspraktikum in Organischer Chemie s. Aushang)
030361,"Tutorium zur Vorlesung „Organische Chemie, Teil 1“"
030380,Methoden der Strukturaufklärung in Lösung (OC) und im Festkörper (AC)
030384,Kleingruppenübung Organische Chemie 1
030400,Physikalische Chemie 1
030401,Übungen zu Physikalische Chemie 1
030405,Physikalische Chemie 3
030406,Übungen zu Physikalische Chemie 3
030407,Physikalisch-Chemisches Praktikum 2 (siehe besonderen Aushang)
030411,Vertiefungspraktikum  2 in Physikalischer Chemie
030412,Seminar zum Vertiefungspraktikum 2 in Physikalischer Chemie
030428,Spezielle Physikalische Chemie: Grundlagen und Anwendungen der EPR-Spektroskopie
030429,Übungen zu Spezielle Physikalische Chemie Grundlagen und Anwendungen der EPR-Spektroskopie
030117,Allgemeine und Anorganische Chemie Praktikum 2
030408,Physikalisch-Chemisches Praktikum  (siehe besonderen Aushang)
030414,Seminar zum Physikalisch-Chemischen Praktikum (M-PC-2B)
030511,Biochemie 2/Stoffwechsel
030512,Biochemie-Praktikum (Teil 1 + 2)
030515,Seminar zum Biochemie-Praktikum
030529,Vertiefungspraktikum im Fach der Bachelorarbeit (einschl. intrgriertes Seminar)
030580,Mikrobiologie 1 (s. Ankündigung der Fakultät Bio- und Chemieingenieurwesen)
030581,Mikrobiologie 2 (s. Ankündigung der Fakultät Bio- und Chemieingenieurwesen)
030582,Mikrobiologie Praktikum (s. Ankündigung der Fakultät Bio- und Chemieingenieurwesen)
03002,Aktuelle Themen der Toxikologie
030137,Spezielle anorganische Chemie: Topics der Anorganischen Chemie
030140,Functional Coordination Networks
030144,Forschungspraktikum in Anorganischer Chemie
030145,Seminar zum Forschungspraktikum in Anorganischer Chemie
030146,Wahlpflichtpraktikum in Anorganischer Chemie
030308,Synthesewissenschaften III (MWV)
030310,Makromolekulare Chemie II
030316,Klassische und neuere Synthesemethoden (M-WV)
030317,Seminar zum Wahlpflichtpraktikum in Organischer Chemie s. Aushang)
030340,Wahlpflichtpraktikum in Organischer Chemie
030342,Wahlpflichtpraktikum Organische Chemie: Synthesewissenschaften
030343,Seminar zum Wahlpflichtpraktikum Organische Chemie: Synthesewissenschaften
030344,Forschungspraktikum im Studienschwerpunkt Organische Chemie
030345,Seminar zum Forschungspraktikum im Studienschwerpunkt Organische Chemie
030347,Seminar zum Wahlpflichtpraktikum in Anorganischer Chemie
030389,Posttranslationale Modifikationen von Proteinen
030426,Spezielle Physikalische Chemie: Computational Chemistry
030427,Übungen zu Spezielle Physikalische Chemie: Computational Chemistry
030440,Wahlpflichtpraktikum in Physikalischer Chemie (siehe besonderen Aushang)
030441,Seminar zum Wahlpflichtpraktikum in Physikalischer Chemie (siehe besonderen Aushang)
030444,Forschungspraktikum in Physikalischer Chemie (siehe besonderen Aushang)
030445,Seminar zum Forschungspraktikum in Physikalischer Chemie (siehe besonderen Aushang)
030446,Wahlpflichtpraktikum Biomolekulare Modellierung
030447,Seminar zum Wahlpflichtpraktikum Biomolekulare Modellierung
030525,Methoden der Informatik in der Wirkstoffforschung
030526,Chemische Biologie u. Wirkstoffforschung (Mitarbeiterseminar + Exkursion)
030528,"Forschungspraktikum Wirkstoffsynthese, Medizinische Chemie und Strukturbiologie"
030543,Bioorganische Chemie II
030546,Forschungspraktikum Bioorganische Chemie (einschließlich integriertes Seminar)
030610,Analytische Chemie - Wasser und Boden 2
030612,Praktikum Analytische Chemie – Wasser und Boden
030613,Forschungspraktikum Analytische Chemie
030139,Spezielle anorganische Chemie: Topics der Anorganischen und der Bioanorganische Chemie
030521,Medizinische Chemie 2
030522,Praktikum Medizinische Chemie
030524,Seminar „Medizinische Chemie – Grundlagen und Strategien der Wirkstoffforschung“
030527,Forschungspraktikum Molekularbiologie und Biochemie
030544,Praktikum Bioorganische Chemie II ( s. Aushang)
030547,Chemie der bioaktiven Heterozyklen
030552,Systembiologie
030553,Praktikum Systembiologie
030560,Chemisch-biologische Aspekte der Epigenetik
030571,Strukturbiologie
030590,Grundlagen der Immunologie
030150,Seminar für wissenschaftliche Mitarbeiter
030151,Seminar für wissenschaftliche Mitarbeiter
030152,Seminar für wissenschaftliche Mitarbeiter
030153,Seminar für wissenschaftliche Mitarbeiter
030154,Seminar für Doktoranden/Masteranden/Bacheloranden
030157,wissenschaftliche Exkursion der AC
030162,Doktorandenseminar anorganische Chemie
030490,Seminar für Wissenschaftliche Mitarbeiter der PC
030491,Gemeinsames Kolloquium der Physikalischen Chemie und der Experimentellen Physik (nach Vorankündigung)
036441,Regionale Erkundung: Wasserwerk Mülheim & Aquarius Wassermuseum (zentrale Anmeldung: siehe Hinweise unter Kommentar)
036450,Sachunterrichtsdidaktik N – Seminar [SUN] – 3./4. FS
036451,Diagnose und individuelle Förderung N – 1./3.FS
036452,Fachdidaktik N (SU vertieft)
036361,Begleitseminar zum Praxissemester
037782,"Eintägige biologische Exkursionen (meist an Samstagen, nach besonderem Plan; wird zu Beginn der Vorlesungszeit bekannt gegeben) (für Nebenfach Wissenschaftsjournalismus, nach Maßgabe freier Plätze offen für alle Studierende der TU Dortmund)"
037784,Forschungsseminar für Prüflinge bei der Bachelor- oder der Master-Arbeit (gemäß Prüfungsliste)
037787,Herbarium unter methodisch-didaktischem Aspekt
037885,Kinderernährung (Wahlpflicht-Vertiefungsübung für Studierende der Wissenschaftsjournalistik ) (verbindliche Platzvergabe am ersten Dienstag der Vorlesungszeit)
080624,Elektrotechnik / Nachrichtentechnik für Informatiker
080625,Elektrotechnik / Nachrichtentechnik für Informatiker
049001,Vorkurs Informatik
049002,Übung zu Vorkurs Informatik
049003,Kolloquium der Fakultät
049205,Mentoring
049221,HPC Programmierung mit C/C++ für MATLAB Programmierer
049301,Grundlagenmodul für Tutorinnen/ Tutoren
049302,Vertiefungsmodul für Tutorinnen/ Tutoren
049303,Zusatzangebot für Tutorinnen/ Tutoren
049611,Tutorium Mathematik für Informatiker 1
042535,Schrifterkennung
042536,Übung zu Handschrifterkennung
048015,Angewandte Datenvisualisierung für Medizinphysiker
048016,Übung zu Angewandte Datenvisualisierung für Medizinphysiker
048203,Cyber-Physical System Fundamentals
048204,Übung zu Cyber-Physical System Fundamentals
040105,"Datenstrukturen, Algorithmen und Programmierung 1"
040106,"Übung zu Datenstrukturen, Algorithmen und Programmierung 1"
040107,"Praktikum zu Datenstrukturen, Algorithmen und  Programmierung 1"
040111,"Betriebssysteme (ehem. Betriebssysteme, Rechnernetze und verteilte Systeme 1)"
040112,"Übung zu Betriebssysteme (ehem. Betriebssysteme, Rechnernetze und verteilte Systeme 1)"
040115,"Datenstrukturen, Algorithmen und Programmierung 2"
040116,"Übung zu Datenstrukturen, Algorithmen und Programmierung 2"
040117,"Praktikum zu Datenstrukturen, Algorithmen und Programmierung 2"
040121,Hardwarepraktikum für Informatiker
040123,Hardwarepraktikum für Informatiker mit Nebenfach Elektrotechnik
040125,Logik
040126,Übung zu Logik
040131,Informationssysteme
040132,Übung zu Informationssysteme
040135,Softwaretechnik
040136,Übung zu Softwaretechnik
040138,Softwarepraktikum in der vorlesungsfreien Zeit
040141,Grundbegriffe der Theoretischen Informatik
040142,Übung zu Grundbegriffe der Theoretischen Informatik
040145,Theoretische Informatik für Studierende der Angewandten Informatik
040146,Übung zu Theoretische Informatik für Studierende der Angewandten Informatik
040221,Effiziente Algorithmen
040222,Übungen zu Effiziente Algorithmen
040225,Formale Methoden des Systementwurfs
040226,Übung zu Formale Methoden des Systementwurfs
040235,Modellgestützte Analyse und Optimierung
040236,Übung zu Modellgestützte Analyse und Optimierung
040254,"Fachprojekt ""Rapid Prototyping mit Expander 2"""
040255,"Fachprojekt ""Visual Computing"""
040256,"Fachprojekt ""Technologien zur Beherrschung heterogener Systemlandschaften"" (MMM - Meta-Modellierte Modelleditoren)"
040259,"Fachprojekt ""Software im Automobil"""
040267,"Fachprojekt ""Algorithm Engineering: Entwicklung einer Rust-Bibliothek am Beispiel von Succinct Trees"""
040268,"Fachprojekt ""Digital Entertainment Technologies"""
040273,"Fachprojekt ""Design of Embedded Systems"" (Bring Your Idea into Reality: Design and Implement Your Own Embedded Systems)"
040305,Mobile Kommunikationssysteme
040306,Übung zu Mobile Kommunikationssysteme
040317,Webtechnologien 2
040318,Übung zu Webtechnologien 2
040319,Elektronische Geschäftsprozesse
040320,Übung zu Elektronische Geschäftsprozesse
040333,Datenbanken in der Praxis - Data Warehousing
040334,Übung zu Datenbanken in der Praxis - Data Warehousing
040335,Einführung in die Datenvisualisierung
040341,Musikdatenanalyse
040342,Übung zu Musikdatenanalyse
040503,Mathematik für Informatiker 2
040504,Übung zu Mathematik für Informatiker 2
040601,Präsentationstechniken für Proseminare
040602,Graphentheoretische Konzepte und Algorithmen (incl. Präsentationskurs)
040603,"Metaheuristische Optimierung - Evolution, Ameisen, Abkühlen und mehr"
040604,Maschinelles Lernen (incl. Präsentationskurs)
040605,Informatik trifft Maschinenbau (incl. Präsentationskurs)
040606,Symbolic Execution (incl. Präsentationskurs)
040607,Geschichte der Programmierung
041101,IT-Recht - Grundlagen für Informatiker (Informatik im Kontext)
041102,Übung zu IT-Recht - Grundlagen für Informatiker (Informatik im Kontext)
041107,Personalmanagement für Informatiker (Informatik im Kontext)
041108,Übung zu Personalmanagement für Informatiker (Informatik im Kontext)
041201,Methodische Grundlagen des Software Engineering
041202,Übung zu Methodische Grundlagen des Software Engineering
041211,Architektur und Implementierung von Datenbanksystemen
041212,Übung zu Architektur und Implementierung von Datenbanksystemen
041215,Software ubiquitärer Systeme
041216,Übung zu Software ubiquitärer Systeme
041221,Praktische Optimierung
041222,Übung zu Praktische Optimierung
041235,Wissensentdeckung in Datenbanken
041236,Übung zu Wissensentdeckung in Datenbanken
041241,Komplexitätstheorie
041242,Übung zu Komplexitätstheorie
041401,Geometrische Algorithmen und Datenstrukturen
041403,Advanced Data Structures
041404,Aktuelle Themen der Graphischen Datenverarbeitung
041405,Algorithm Engineering
041406,Informatik und Ethik
041407,Software Dependability
042330,Übung zu Komponenten- und Service-Orientierte Softwarekonstruktion
042341,Logisch-algebraischer Systementwurf
042342,Übung zu Logisch-algebraischer Systementwurf
042403,Verteilte Algorithmen 1
042404,Übung zu Verteilte Algorithmen 1
042505,Datenvisualisierung
042506,Übung zu Datenvisualisierung
042517,IT-Management
042518,Übung zu IT-Management
042605,Ausgewählte Kapitel der Algorithmik
042606,Übung zu Ausgewählte Kapitel der Algorithmik
043006,Begleitseminar zum Berufsfeldpraktikum (BFP) Informatik
043031,Fehlvorstellungen beim Programmieren (Diagnose und Individuelle Förderung)
043041,Formale Methoden 1
043101,Didaktik der Informatik
043102,Übung zu Didaktik der Informatik
043103,Vorbereitungsseminar Praxissemester
043105,Begleitseminar Praxissemester
046611,Bildverarbeitung auf eingebetteten Systemen für den Roboterfußball
046612,HeartySense - Telemonitoring und belastungsabhängige Kunstherzsteuerung
046613,ACC++ -  Domänenspezifische Sprachen für Autonomes Fahren
046614,Intelligent Storage Systems
046615,SEMI – Sichere und Effiziente Mensch-Maschine-Kooperation in der Intra-logistik
046616,SACABench - A Benchmark-Framework for Full-Text Indices
046617,neXtGen - Model-based Code Generation
046618,Intelligente Autonome Taxis
049011,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049012,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049013,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049014,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049015,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049016,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049021,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049022,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049025,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049026,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049041,"Seminar über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049042,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049044,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049051,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049052,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049061,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049062,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049063,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049064,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049071,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049072,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049081,Oberseminar Maschinelles Lernen und Wissensentdeckung
049082,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049111,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049112,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049113,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049114,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049115,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049116,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049117,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049118,"Betreuung von Bachelor-, Master- und Diplomarbeiten"
049121,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049122,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049123,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049124,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049125,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049126,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049141,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049142,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049143,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049144,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049145,"Seminare über Bachelor-, Master-, Diplom- und Doktorarbeiten"
049146,"Betreuung von Bachelor-, Master-, Diplomarbeiten"
049225,Simulationstechnik in der Spanenden Fertigung II
049226,Simulationstechnik in der Spanenden Fertigung II
049227,Planspiel: Spanende Fertigung von Luftfahrtkomponenten
049876,SFB 876
050007,Grundlagen der Versuchsplanung
050050,Statistik II: Elementare Wahrscheinlichkeitsrechnung
050055,Statistik IV: Statistische Verfahren
050057,Lineare Modelle
050105,Fallstudien I
050360,Programmierung mit R II
050455,Bayes-Statistik
050463,Ökonometrie
050621,Datenanalyse mit SAS
050685,Vektor- und Matrizenrechnung II
050715,Sterbetafelanalyse mit Anwendungen in der Demometrie und Lebensversicherungsmathematik
050885,Wissensentdeckung in Datenbanken
050889,Klinische Studien
051024,Meta-Analyse
